id,created_at,gender,age,travel_frequency,weight_monuments,weight_beaches,weight_mountains,weight_infrastructure,weight_costs,weight_safety,wsm_ranking_text,wsm_ranking,list_a_type,list_b_type,list_c_type,wsm_relevance,wsm_achievable,wsm_inspiring,asp_relevance,asp_achievable,asp_inspiring,real_relevance,real_achievable,real_inspiring,final_choice_letter,final_choice_type,is_synthetic,justification_text,personalization_useful
003da9b6-2905-42e6-995c-323930b14830,2026-05-01 19:17:10.39909+00,Mężczyzna,18-25 lat,2-3 razy w roku,0.3,0.31,0.19,0,0.2,0,"Włochy (79.3%), Chiny (64.8%), Francja (64.5%), Indie (63.7%), USA (62.1%), Hiszpania (59.5%), Meksyk (59%), Grecja (58.6%), Tajlandia (52.4%), Brazylia (52.1%)","[{""code"":""IT"",""name"":""Włochy"",""score"":0.793,""matchPct"":79.3},{""code"":""CN"",""name"":""Chiny"",""score"":0.6481,""matchPct"":64.8},{""code"":""FR"",""name"":""Francja"",""score"":0.6445,""matchPct"":64.5},{""code"":""IN"",""name"":""Indie"",""score"":0.6373,""matchPct"":63.7},{""code"":""US"",""name"":""USA"",""score"":0.6211,""matchPct"":62.1},{""code"":""ES"",""name"":""Hiszpania"",""score"":0.5949,""matchPct"":59.5},{""code"":""MX"",""name"":""Meksyk"",""score"":0.5897,""matchPct"":59},{""code"":""GR"",""name"":""Grecja"",""score"":0.5857,""matchPct"":58.6},{""code"":""TH"",""name"":""Tajlandia"",""score"":0.5235,""matchPct"":52.4},{""code"":""BR"",""name"":""Brazylia"",""score"":0.5206999999999999,""matchPct"":52.1}]",wsm,aspirations,reality,2,4,4,2,3,4,3,4,3,A,wsm,false,,trudno_powiedziec
00a6b685-1839-4443-ac71-17afec8534bd,2026-05-04 17:08:49.838754+00,Inna,18-25 lat,Raz na kilka lat,0.34,0,0.35,0,0.2,0.11,"Włochy (82.2%), Chiny (81.1%), Francja (66.5%), Indie (63.6%), USA (63.1%), Hiszpania (60.8%), Japonia (55%), Wielka Brytania (52.2%), Kanada (51.7%), Turcja (49.9%)","[{""code"":""IT"",""name"":""Włochy"",""score"":0.8217,""matchPct"":82.2},{""code"":""CN"",""name"":""Chiny"",""score"":0.8107000000000001,""matchPct"":81.1},{""code"":""FR"",""name"":""Francja"",""score"":0.6649,""matchPct"":66.5},{""code"":""IN"",""name"":""Indie"",""score"":0.6362000000000001,""matchPct"":63.6},{""code"":""US"",""name"":""USA"",""score"":0.6307999999999999,""matchPct"":63.1},{""code"":""ES"",""name"":""Hiszpania"",""score"":0.6079000000000001,""matchPct"":60.8},{""code"":""JP"",""name"":""Japonia"",""score"":0.5502,""matchPct"":55},{""code"":""GB"",""name"":""Wielka Brytania"",""score"":0.5223000000000001,""matchPct"":52.2},{""code"":""CA"",""name"":""Kanada"",""score"":0.5170999999999999,""matchPct"":51.7},{""code"":""TR"",""name"":""Turcja"",""score"":0.49940000000000007,""matchPct"":49.9}]",reality,aspirations,wsm,2,2,2,3,2,2,3,2,3,A,reality,false,,trudno_powiedziec
00bd1fb3-3436-4ca1-ae13-ce526756c3dc,2026-05-04 17:14:56.922449+00,Mężczyzna,18-25 lat,Raz na kilka lat,0.34,0,0,0,0.33,0.33,"Włochy (81.5%), Chiny (76.2%), Hiszpania (73.9%), Francja (69.4%), Holandia (67.7%), Gruzja (64.8%), Czechy (64.2%), Indie (62.6%), Wielka Brytania (62.2%), Portugalia (61.8%)","[{""code"":""IT"",""name"":""Włochy"",""score"":0.8151999999999999,""matchPct"":81.5},{""code"":""CN"",""name"":""Chiny"",""score"":0.762,""matchPct"":76.2},{""code"":""ES"",""name"":""Hiszpania"",""score"":0.7385,""matchPct"":73.9},{""code"":""FR"",""name"":""Francja"",""score"":0.6942,""matchPct"":69.4},{""code"":""NL"",""name"":""Holandia"",""score"":0.6767000000000001,""matchPct"":67.7},{""code"":""GE"",""name"":""Gruzja"",""score"":0.6479,""matchPct"":64.8},{""code"":""CZ"",""name"":""Czechy"",""score"":0.6417,""matchPct"":64.2},{""code"":""IN"",""name"":""Indie"",""score"":0.6257,""matchPct"":62.6},{""code"":""GB"",""name"":""Wielka Brytania"",""score"":0.6221000000000001,""matchPct"":62.2},{""code"":""PT"",""name"":""Portugalia"",""score"":0.6184000000000001,""matchPct"":61.8}]",wsm,aspirations,reality,3,2,4,3,2,4,2,2,4,A,wsm,false,,tak
00c1b53e-b84a-477d-916a-ad00e900f78a,2026-05-02 05:49:30.601471+00,Mężczyzna,46-60 lat,2-3 razy w roku,0.24,0.23,0,0.1,0.17,0.26,"Włochy (76.2%), Hiszpania (69.9%), Chiny (69%), Francja (65.4%), Grecja (63.2%), Japonia (62.2%), Indie (59.9%), Holandia (56.9%), Tajlandia (56.5%), USA (56.3%)","[{""code"":""IT"",""name"":""Włochy"",""score"":0.7621,""matchPct"":76.2},{""code"":""ES"",""name"":""Hiszpania"",""score"":0.6987,""matchPct"":69.9},{""code"":""CN"",""name"":""Chiny"",""score"":0.6902,""matchPct"":69},{""code"":""FR"",""name"":""Francja"",""score"":0.6536,""matchPct"":65.4},{""code"":""GR"",""name"":""Grecja"",""score"":0.6321000000000001,""matchPct"":63.2},{""code"":""JP"",""name"":""Japonia"",""score"":0.622,""matchPct"":62.2},{""code"":""IN"",""name"":""Indie"",""score"":0.5994,""matchPct"":59.9},{""code"":""NL"",""name"":""Holandia"",""score"":0.5688,""matchPct"":56.9},{""code"":""TH"",""name"":""Tajlandia"",""score"":0.5646,""matchPct"":56.5},{""code"":""US"",""name"":""USA"",""score"":0.5626,""matchPct"":56.3}]",aspirations,reality,wsm,4,5,5,1,3,1,5,5,5,B,reality,false,Kraje wymienion na tej liście posiadają bogatą historię dużo miejsc do zwiedzania oraz ciekawe miejsca do relaksu,tak
01127381-68a7-427a-bf5e-0b376c63a236,2026-05-02 14:57:58.289988+00,Kobieta,46-60 lat,2-3 razy w roku,0.25,0.25,0.1,0.05,0.15,0.2,"Włochy (75.9%), Chiny (69.5%), Hiszpania (64.7%), Francja (63.1%), Indie (60.4%), Grecja (59.3%), USA (59.1%), Japonia (59%), Tajlandia (54.1%), Turcja (52.3%)","[{""code"":""IT"",""name"":""Włochy"",""score"":0.7585000000000001,""matchPct"":75.9},{""code"":""CN"",""name"":""Chiny"",""score"":0.6950000000000001,""matchPct"":69.5},{""code"":""ES"",""name"":""Hiszpania"",""score"":0.6465,""matchPct"":64.7},{""code"":""FR"",""name"":""Francja"",""score"":0.6305,""matchPct"":63.1},{""code"":""IN"",""name"":""Indie"",""score"":0.6044999999999999,""matchPct"":60.4},{""code"":""GR"",""name"":""Grecja"",""score"":0.593,""matchPct"":59.3},{""code"":""US"",""name"":""USA"",""score"":0.591,""matchPct"":59.1},{""code"":""JP"",""name"":""Japonia"",""score"":0.59,""matchPct"":59},{""code"":""TH"",""name"":""Tajlandia"",""score"":0.5409999999999999,""matchPct"":54.1},{""code"":""TR"",""name"":""Turcja"",""score"":0.523,""matchPct"":52.3}]",aspirations,reality,wsm,4,4,5,2,1,2,5,5,5,B,reality,false,,tak
0256ed1a-853b-4854-8e08-c9a67053c0e7,2026-05-04 17:09:28.485973+00,Mężczyzna,18-25 lat,Raz na kilka lat,0.21,0.1,0.3,0.1,0.09,0.2,"Chiny (80.4%), Włochy (76%), USA (68.5%), Francja (63.1%), Japonia (63%), Hiszpania (62.5%), Indie (60.7%), Kanada (54.4%), Gruzja (52%), Grecja (52%)","[{""code"":""CN"",""name"":""Chiny"",""score"":0.8042,""matchPct"":80.4},{""code"":""IT"",""name"":""Włochy"",""score"":0.7603,""matchPct"":76},{""code"":""US"",""name"":""USA"",""score"":0.6851999999999999,""matchPct"":68.5},{""code"":""FR"",""name"":""Francja"",""score"":0.6305,""matchPct"":63.1},{""code"":""JP"",""name"":""Japonia"",""score"":0.6299,""matchPct"":63},{""code"":""ES"",""name"":""Hiszpania"",""score"":0.6249,""matchPct"":62.5},{""code"":""IN"",""name"":""Indie"",""score"":0.6068,""matchPct"":60.7},{""code"":""CA"",""name"":""Kanada"",""score"":0.5439,""matchPct"":54.4},{""code"":""GE"",""name"":""Gruzja"",""score"":0.5203,""matchPct"":52},{""code"":""GR"",""name"":""Grecja"",""score"":0.52,""matchPct"":52}]",wsm,reality,aspirations,3,3,4,2,4,2,5,4,5,B,reality,false,,tak
037f65e1-3033-4ea8-9308-6778f1b37da4,2026-05-04 17:31:46.500645+00,Mężczyzna,18-25 lat,2-3 razy w roku,0.13,0.2,0.03,0.24,0.15,0.25,"Włochy (75.5%), Hiszpania (74.2%), Chiny (72.3%), Grecja (68.9%), Japonia (68.8%), Francja (68.1%), USA (65%), Singapur (63.6%), Chorwacja (63.5%), Holandia (63.5%)","[{""code"":""IT"",""name"":""Włochy"",""score"":0.7552,""matchPct"":75.5},{""code"":""ES"",""name"":""Hiszpania"",""score"":0.7416,""matchPct"":74.2},{""code"":""CN"",""name"":""Chiny"",""score"":0.7226999999999999,""matchPct"":72.3},{""code"":""GR"",""name"":""Grecja"",""score"":0.6892,""matchPct"":68.9},{""code"":""JP"",""name"":""Japonia"",""score"":0.6881,""matchPct"":68.8},{""code"":""FR"",""name"":""Francja"",""score"":0.681,""matchPct"":68.1},{""code"":""US"",""name"":""USA"",""score"":0.6503999999999999,""matchPct"":65},{""code"":""SG"",""name"":""Singapur"",""score"":0.6361,""matchPct"":63.6},{""code"":""HR"",""name"":""Chorwacja"",""score"":0.6354,""matchPct"":63.5},{""code"":""NL"",""name"":""Holandia"",""score"":0.6349,""matchPct"":63.5}]",wsm,aspirations,reality,5,3,4,2,1,3,3,4,3,A,wsm,false,,tak
03b5bcdd-456f-4900-b00a-9694be937e3f,2026-05-04 20:21:01.552345+00,Mężczyzna,18-25 lat,Raz na kilka lat,0,0.05,0.3,0,0.25,0.4,"Chiny (87.8%), Słowenia (74.6%), Gruzja (74.3%), Finlandia (72.1%), Japonia (70.7%), Chorwacja (70.2%), Andora (69.1%), Włochy (68.6%), Hiszpania (66.9%), USA (66.3%)","[{""code"":""CN"",""name"":""Chiny"",""score"":0.878,""matchPct"":87.8},{""code"":""SI"",""name"":""Słowenia"",""score"":0.7455,""matchPct"":74.6},{""code"":""GE"",""name"":""Gruzja"",""score"":0.7430000000000001,""matchPct"":74.3},{""code"":""FI"",""name"":""Finlandia"",""score"":0.7210000000000001,""matchPct"":72.1},{""code"":""JP"",""name"":""Japonia"",""score"":0.7070000000000001,""matchPct"":70.7},{""code"":""HR"",""name"":""Chorwacja"",""score"":0.7015,""matchPct"":70.2},{""code"":""AD"",""name"":""Andora"",""score"":0.6910000000000001,""matchPct"":69.1},{""code"":""IT"",""name"":""Włochy"",""score"":0.6855,""matchPct"":68.6},{""code"":""ES"",""name"":""Hiszpania"",""score"":0.6685,""matchPct"":66.9},{""code"":""US"",""name"":""USA"",""score"":0.663,""matchPct"":66.3}]",wsm,aspirations,reality,2,3,3,2,3,1,4,3,4,C,reality,false,,tak
03f808e0-7170-49d0-990e-5cda0f597320,2026-05-04 17:10:29.165382+00,Kobieta,18-25 lat,Raz w roku,0.25,0.05,0.05,0.2,0.4,0.05,"Włochy (86.7%), Francja (79%), Hiszpania (78.5%), Chiny (71.3%), Wielka Brytania (69.7%), Grecja (69.3%), Indie (68.4%), Turcja (67%), Holandia (65.2%), Egipt (64.6%)","[{""code"":""IT"",""name"":""Włochy"",""score"":0.8674999999999999,""matchPct"":86.7},{""code"":""FR"",""name"":""Francja"",""score"":0.7899999999999999,""matchPct"":79},{""code"":""ES"",""name"":""Hiszpania"",""score"":0.7845,""matchPct"":78.5},{""code"":""CN"",""name"":""Chiny"",""score"":0.7134999999999999,""matchPct"":71.3},{""code"":""GB"",""name"":""Wielka Brytania"",""score"":0.6965,""matchPct"":69.7},{""code"":""GR"",""name"":""Grecja"",""score"":0.6925,""matchPct"":69.3},{""code"":""IN"",""name"":""Indie"",""score"":0.684,""matchPct"":68.4},{""code"":""TR"",""name"":""Turcja"",""score"":0.6700000000000002,""matchPct"":67},{""code"":""NL"",""name"":""Holandia"",""score"":0.6515000000000002,""matchPct"":65.2},{""code"":""EG"",""name"":""Egipt"",""score"":0.6455000000000001,""matchPct"":64.6}]",reality,wsm,aspirations,4,4,4,5,1,5,4,5,2,C,aspirations,false,"Lista A ma tylko 3 państwa, w których nie byłam. Lista B też (chociaż Indie i Chiny są na mojej liście do zwiedzenia). Lista C zawiera państwa, w których nie byłam. Dodatkowo jest najbardziej różnorodna.",trudno_powiedziec
041d7555-51b3-4bd7-bab3-f9f8b398bbbe,2026-05-04 18:02:52.807004+00,Mężczyzna,18-25 lat,Raz na kilka lat,0.05,0.1,0.1,0.2,0.35,0.2,"Hiszpania (77.8%), Włochy (77.5%), Chiny (76.5%), Gruzja (73.7%), Grecja (72.5%), Andora (72.2%), Chorwacja (72.1%), Francja (71.3%), Portugalia (71.3%), Słowenia (70.9%)","[{""code"":""ES"",""name"":""Hiszpania"",""score"":0.7775,""matchPct"":77.8},{""code"":""IT"",""name"":""Włochy"",""score"":0.7745,""matchPct"":77.5},{""code"":""CN"",""name"":""Chiny"",""score"":0.7649999999999999,""matchPct"":76.5},{""code"":""GE"",""name"":""Gruzja"",""score"":0.7374999999999999,""matchPct"":73.7},{""code"":""GR"",""name"":""Grecja"",""score"":0.725,""matchPct"":72.5},{""code"":""AD"",""name"":""Andora"",""score"":0.7215,""matchPct"":72.2},{""code"":""HR"",""name"":""Chorwacja"",""score"":0.7210000000000001,""matchPct"":72.1},{""code"":""FR"",""name"":""Francja"",""score"":0.7125,""matchPct"":71.3},{""code"":""PT"",""name"":""Portugalia"",""score"":0.7125,""matchPct"":71.3},{""code"":""SI"",""name"":""Słowenia"",""score"":0.7085,""matchPct"":70.9}]",wsm,reality,aspirations,4,3,4,2,2,3,3,3,4,B,reality,false,,tak
